genre,count,regex that matches,formula text
"Counting,",2,TRUE,"=REGEXMATCH (A337, ""Counting"")"
"Cycling,",2,TRUE,"=REGEXMATCH (A338, ""Cycling"")"
"Diary,",2,TRUE,"=REGEXMATCH (A339, ""Diary"")"
"Diets,",2,TRUE,"=REGEXMATCH (A340, ""Diets"")"
"Dungeons and Dragons,",2,TRUE,"=REGEXMATCH (A341, ""Dungeons and Dragons"")"
"Emotion,",2,TRUE,"=REGEXMATCH (A342, ""Emotion"")"
"Fighters,",2,TRUE,"=REGEXMATCH (A343, ""Fighters"")"
"French Revolution,",2,TRUE,"=REGEXMATCH (A344, ""French Revolution"")"
"Gaming,",2,TRUE,"=REGEXMATCH (A345, ""Gaming"")"
"Gay For You,",2,TRUE,"=REGEXMATCH (A346, ""Gay For You"")"
"Geography,",2,TRUE,"=REGEXMATCH (A347, ""Geography"")"
"Hard Science Fiction,",2,TRUE,"=REGEXMATCH (A348, ""Hard Science Fiction"")"
"Historical Fantasy,",2,TRUE,"=REGEXMATCH (A349, ""Historical Fantasy"")"
"Indian Literature,",2,TRUE,"=REGEXMATCH (A350, ""Indian Literature"")"
"Israel,",2,TRUE,"=REGEXMATCH (A351, ""Israel"")"
"Knitting,",2,TRUE,"=REGEXMATCH (A352, ""Knitting"")"
"Latin American,",2,TRUE,"=REGEXMATCH (A353, ""^Latin American,|, Latin American,|, Latin American$"")"
"Legal Thriller,",2,TRUE,"=REGEXMATCH (A354, ""Legal Thriller"")"
"Mafia Romance,",2,TRUE,"=REGEXMATCH (A355, ""Mafia Romance"")"
"Menage,",2,TRUE,"=REGEXMATCH (A356, ""Menage"")"
"Microhistory,",2,TRUE,"=REGEXMATCH (A357, ""Microhistory"")"
"Money,",2,TRUE,"=REGEXMATCH (A358, ""Money"")"
"Muslims,",2,TRUE,"=REGEXMATCH (A359, ""Muslims"")"
"Natural History,",2,TRUE,"=REGEXMATCH (A360, ""Natural History"")"
"Near Future,",2,TRUE,"=REGEXMATCH (A361, ""Near Future"")"
"Nordic Noir,",2,TRUE,"=REGEXMATCH (A362, ""Nordic Noir"")"
"Poverty,",2,TRUE,"=REGEXMATCH (A363, ""Poverty"")"
"Quantum Mechanics,",2,TRUE,"=REGEXMATCH (A364, ""Quantum Mechanics"")"
"Road Trip,",2,TRUE,"=REGEXMATCH (A365, ""Road Trip"")"
"Social Science,",2,TRUE,"=REGEXMATCH (A366, ""Social Science"")"
"Southern Gothic,",2,TRUE,"=REGEXMATCH (A367, ""Southern Gothic"")"
"Theology,",2,TRUE,"=REGEXMATCH (A368, ""Theology"")"
"Wine,",2,TRUE,"=REGEXMATCH (A369, ""Wine"")"
"Workplace Romance,",2,TRUE,"=REGEXMATCH (A370, ""Workplace Romance"")"
"17th Century,",1,TRUE,"=REGEXMATCH (A371, ""17th Century"")"
"Activism,",1,TRUE,"=REGEXMATCH (A372, ""Activism"")"
"Aeroplanes,",1,TRUE,"=REGEXMATCH (A373, ""Aeroplanes"")"
"African American Literature,",1,TRUE,"=REGEXMATCH (A374, ""African American Literature"")"
"African American Romance,",1,TRUE,"=REGEXMATCH (A375, ""African American Romance"")"
"African Literature,",1,TRUE,"=REGEXMATCH (A376, ""African Literature"")"
"Ancient History,",1,TRUE,"=REGEXMATCH (A377, ""Ancient History"")"
"Architecture,",1,TRUE,"=REGEXMATCH (A378, ""Architecture"")"
"Art and Photography,",1,TRUE,"=REGEXMATCH (A379, ""Art and Photography"")"
"Bangladesh,",1,TRUE,"=REGEXMATCH (A380, ""Bangladesh"")"
"Beauty and The Beast,",1,TRUE,"=REGEXMATCH (A381, ""Beauty and The Beast"")"
"Bicycles,",1,TRUE,"=REGEXMATCH (A382, ""Bicycles"")"
"Bolivia,",1,TRUE,"=REGEXMATCH (A383, ""Bolivia"")"
"Botswana,",1,TRUE,"=REGEXMATCH (A384, ""Botswana"")"
"Buffy The Vampire Slayer,",1,TRUE,"=REGEXMATCH (A385, ""Buffy The Vampire Slayer"")"
"Buisness,",1,TRUE,"=REGEXMATCH (A386, ""Buisness"")"
"Cartography,",1,TRUE,"=REGEXMATCH (A387, ""Cartography"")"
"Catholic,",1,TRUE,"=REGEXMATCH (A388, ""Catholic"")"
"Chemistry,",1,TRUE,"=REGEXMATCH (A389, ""Chemistry"")"
"Chess,",1,TRUE,"=REGEXMATCH (A390, ""Chess"")"
"Choose Your Own Adventure,",1,TRUE,"=REGEXMATCH (A391, ""Choose Your Own Adventure"")"
"Cocktails,",1,TRUE,"=REGEXMATCH (A392, ""Cocktails"")"
"Comedian,",1,TRUE,"=REGEXMATCH (A393, ""Comedian"")"
"Computers,",1,TRUE,"=REGEXMATCH (A394, ""Computers"")"
"Conservation,",1,TRUE,"=REGEXMATCH (A395, ""Conservation"")"
"Cthulhu Mythos,",1,TRUE,"=REGEXMATCH (A396, ""Cthulhu Mythos"")"
"Engineering,",1,TRUE,"=REGEXMATCH (A397, ""Engineering"")"
"European History,",1,TRUE,"=REGEXMATCH (A398, ""European History"")"
"Fandom,",1,TRUE,"=REGEXMATCH (A399, ""Fandom"")"
"Female Authors,",1,TRUE,"=REGEXMATCH (A400, ""Female Authors"")"
"Food History,",1,TRUE,"=REGEXMATCH (A401, ""Food History"")"
"Food Preservation,",1,TRUE,"=REGEXMATCH (A402, ""Food Preservation"")"
"Forgotten Realms,",1,TRUE,"=REGEXMATCH (A403, ""Forgotten Realms"")"
"Fostering,",1,TRUE,"=REGEXMATCH (A404, ""Fostering"")"
"Fractured Fairy Tales,",1,TRUE,"=REGEXMATCH (A405, ""Fractured Fairy Tales"")"
"Games,",1,TRUE,"=REGEXMATCH (A406, ""Games"")"
"Geology,",1,TRUE,"=REGEXMATCH (A407, ""Geology"")"
"Google,",1,TRUE,"=REGEXMATCH (A408, ""Google"")"
"Green,",1,TRUE,"=REGEXMATCH (A409, ""Green"")"
"Hip Hop,",1,TRUE,"=REGEXMATCH (A410, ""Hip Hop"")"
"Horses,",1,TRUE,"=REGEXMATCH (A411, ""Horses"")"
"How To,",1,TRUE,"=REGEXMATCH (A412, ""How To"")"
"Illness,",1,TRUE,"=REGEXMATCH (A413, ""Illness"")"
"Internet,",1,TRUE,"=REGEXMATCH (A414, ""Internet"")"
"Italian Literature,",1,TRUE,"=REGEXMATCH (A415, ""Italian Literature"")"
"Judaism,",1,TRUE,"=REGEXMATCH (A416, ""Judaism"")"
"Latin American History,",1,TRUE,"=REGEXMATCH (A417, ""Latin American History"")"
"Lds,",1,TRUE,"=REGEXMATCH (A418, ""Lds"")"
"Literary Criticism,",1,TRUE,"=REGEXMATCH (A419, ""Literary Criticism"")"
"M M M,",1,TRUE,"=REGEXMATCH (A420, ""M M M"")"
"Manhwa,",1,TRUE,"=REGEXMATCH (A421, ""Manhwa"")"
"Maps,",1,TRUE,"=REGEXMATCH (A422, ""Maps"")"
"Media Tie In,",1,TRUE,"=REGEXMATCH (A423, ""Media Tie In"")"
"Mermaids,",1,TRUE,"=REGEXMATCH (A424, ""Mermaids"")"
"Military Romance,",1,TRUE,"=REGEXMATCH (A425, ""Military Romance"")"
"Motorcycle,",1,TRUE,"=REGEXMATCH (A426, ""Motorcycle"")"
"Mountaineering,",1,TRUE,"=REGEXMATCH (A427, ""Mountaineering"")"
"Musicians,",1,TRUE,"=REGEXMATCH (A428, ""Musicians"")"
"Nursery Rhymes,",1,TRUE,"=REGEXMATCH (A429, ""Nursery Rhymes"")"
"Personal Finance,",1,TRUE,"=REGEXMATCH (A430, ""Personal Finance"")"
"Plantagenet,",1,TRUE,"=REGEXMATCH (A431, ""Plantagenet"")"
"Plants,",1,TRUE,"=REGEXMATCH (A432, ""Plants"")"
"Poland,",1,TRUE,"=REGEXMATCH (A433, ""Poland"")"
"Polyamory,",1,TRUE,"=REGEXMATCH (A434, ""Polyamory"")"
"Princesses,",1,TRUE,"=REGEXMATCH (A435, ""Princesses"")"
"Psychoanalysis,",1,TRUE,"=REGEXMATCH (A436, ""Psychoanalysis"")"
"Rabbits,",1,TRUE,"=REGEXMATCH (A437, ""Rabbits"")"
"Regency Romance,",1,TRUE,"=REGEXMATCH (A438, ""Regency Romance"")"
"Romania,",1,TRUE,"=REGEXMATCH (A439, ""Romania"")"
"Russian History,",1,TRUE,"=REGEXMATCH (A440, ""Russian History"")"
"Rwanda,",1,TRUE,"=REGEXMATCH (A441, ""Rwanda"")"
"Short Story Collection,",1,TRUE,"=REGEXMATCH (A442, ""Short Story Collection"")"
"Slice Of Life,",1,TRUE,"=REGEXMATCH (A443, ""Slice Of Life"")"
"Social Issues,",1,TRUE,"=REGEXMATCH (A444, ""Social Issues"")"
"South Africa,",1,TRUE,"=REGEXMATCH (A445, ""South Africa"")"
"Spanish Civil War,",1,TRUE,"=REGEXMATCH (A446, ""Spanish Civil War"")"
"Spanish Literature,",1,TRUE,"=REGEXMATCH (A447, ""Spanish Literature"")"
"Spy Thriller,",1,TRUE,"=REGEXMATCH (A448, ""Spy Thriller"")"
"Sudan,",1,TRUE,"=REGEXMATCH (A449, ""Sudan"")"
"Tanzania,",1,TRUE,"=REGEXMATCH (A450, ""Tanzania"")"
"Tea,",1,TRUE,"=REGEXMATCH (A451, ""Tea,|, Tea$"")"
"Teachers,",1,TRUE,"=REGEXMATCH (A452, ""Teachers"")"
"Theatre,",1,TRUE,"=REGEXMATCH (A453, ""^Theatre,|, Theatre,|, Theatre$"")"
"Turkish Literature,",1,TRUE,"=REGEXMATCH (A454, ""Turkish Literature"")"
"Turkish,",1,TRUE,"=REGEXMATCH (A455, ""Turkish,|, Turkish$"")"
"Ukraine,",1,TRUE,"=REGEXMATCH (A456, ""Ukraine"")"
"Urbanism,",1,TRUE,"=REGEXMATCH (A457, ""Urbanism"")"
"Video Games,",1,TRUE,"=REGEXMATCH (A458, ""Video Games"")"
"Witchcraft,",1,TRUE,"=REGEXMATCH (A459, ""Witchcraft"")"
"Zen,",1,TRUE,"=REGEXMATCH (A460, ""Zen"")"
